column,family
tqwt_skewnessValue_dec_15,TQWT
tqwt_skewnessValue_dec_16,TQWT
tqwt_skewnessValue_dec_17,TQWT
tqwt_skewnessValue_dec_18,TQWT
tqwt_skewnessValue_dec_19,TQWT
tqwt_skewnessValue_dec_20,TQWT
tqwt_skewnessValue_dec_21,TQWT
tqwt_skewnessValue_dec_22,TQWT
tqwt_skewnessValue_dec_23,TQWT
tqwt_skewnessValue_dec_24,TQWT
tqwt_skewnessValue_dec_25,TQWT
tqwt_skewnessValue_dec_26,TQWT
tqwt_skewnessValue_dec_27,TQWT
tqwt_skewnessValue_dec_28,TQWT
tqwt_skewnessValue_dec_29,TQWT
tqwt_skewnessValue_dec_30,TQWT
tqwt_skewnessValue_dec_31,TQWT
tqwt_skewnessValue_dec_32,TQWT
tqwt_skewnessValue_dec_33,TQWT
tqwt_skewnessValue_dec_34,TQWT
tqwt_skewnessValue_dec_35,TQWT
tqwt_skewnessValue_dec_36,TQWT
tqwt_kurtosisValue_dec_1,TQWT
tqwt_kurtosisValue_dec_2,TQWT
tqwt_kurtosisValue_dec_3,TQWT
tqwt_kurtosisValue_dec_4,TQWT
tqwt_kurtosisValue_dec_5,TQWT
tqwt_kurtosisValue_dec_6,TQWT
tqwt_kurtosisValue_dec_7,TQWT
tqwt_kurtosisValue_dec_8,TQWT
tqwt_kurtosisValue_dec_9,TQWT
tqwt_kurtosisValue_dec_10,TQWT
tqwt_kurtosisValue_dec_11,TQWT
tqwt_kurtosisValue_dec_12,TQWT
tqwt_kurtosisValue_dec_13,TQWT
tqwt_kurtosisValue_dec_14,TQWT
tqwt_kurtosisValue_dec_15,TQWT
tqwt_kurtosisValue_dec_16,TQWT
tqwt_kurtosisValue_dec_17,TQWT
tqwt_kurtosisValue_dec_18,TQWT
tqwt_kurtosisValue_dec_19,TQWT
tqwt_kurtosisValue_dec_20,TQWT
tqwt_kurtosisValue_dec_21,TQWT
tqwt_kurtosisValue_dec_22,TQWT
tqwt_kurtosisValue_dec_23,TQWT
tqwt_kurtosisValue_dec_24,TQWT
tqwt_kurtosisValue_dec_25,TQWT
tqwt_kurtosisValue_dec_26,TQWT
tqwt_kurtosisValue_dec_27,TQWT
tqwt_kurtosisValue_dec_28,TQWT
tqwt_kurtosisValue_dec_29,TQWT
tqwt_kurtosisValue_dec_30,TQWT
tqwt_kurtosisValue_dec_31,TQWT
tqwt_kurtosisValue_dec_32,TQWT
tqwt_kurtosisValue_dec_33,TQWT
tqwt_kurtosisValue_dec_34,TQWT
tqwt_kurtosisValue_dec_35,TQWT
tqwt_kurtosisValue_dec_36,TQWT
